category,key,page_route_en,page_route_ko,source_text_en,proposed_text_ko,notes,status,reviewer
seo,description.privacy,/privacy/,/ko/privacy/,Read the current privacy summary for Signal over Noise toolkit requests diagnostic requests and contact follow-up.,Signal over Noise 툴킷 신청, 진단 요청, 문의 후속 과정에서 개인정보가 어떻게 처리되는지 확인해 보세요.,,Reviewed,Owner + External,
seo,title.process,/process/,/ko/process/,Process | Signal over Noise,프로세스 | Signal over Noise,,Reviewed,Owner + External,
seo,description.process,/process/,/ko/process/,See the Signal over Noise process from first diagnostic request to recommendation refinement rehearsal and presentation-ready support.,첫 진단 요청부터 개선 제안, 리허설, 발표 준비 지원까지 Signal over Noise의 전체 프로세스를 확인할 수 있습니다.,,Reviewed,Owner + External,
seo,title.contact,/contact/,/ko/contact/,Workshop Inquiry | Signal over Noise,워크숍 문의 | Signal over Noise,,Reviewed,Owner + External,
seo,description.contact,/contact/,/ko/contact/,Share your workshop or team-training inquiry for Signal over Noise and outline the audience format and presentation challenges involved.,Signal over Noise 워크숍 또는 팀 트레이닝 문의를 보내고 청중, 형식, 발표 과제를 간단히 공유해 주세요.,,Reviewed,Owner + External,
seo,title.toolkit,/toolkit/,/ko/toolkit/,Presenter Toolkit | Signal over Noise,발표자 툴킷 | Signal over Noise,,Reviewed,Owner + External,
seo,description.toolkit,/toolkit/,/ko/toolkit/,Get the Presenter Toolkit with a script worksheet slide checklist and rehearsal plan designed to carry the workshop into real presentation prep.,워크숍 내용을 실전 발표 준비로 연결하는 스크립트 워크시트, 슬라이드 체크리스트, 리허설 플랜이 포함된 발표자 툴킷을 받아보세요.,,Reviewed,Owner + External,
seo,title.diagnostic,/diagnostic/,/ko/diagnostic/,Request a Free Presentation Diagnostic | Signal over Noise,무료 프레젠테이션 진단 요청 | Signal over Noise,,Reviewed,Owner + External,
seo,description.diagnostic,/diagnostic/,/ko/diagnostic/,Request a free presentation diagnostic for your script slide deck or recorded delivery and get a tailored recommendation for the strongest next step.,스크립트, 슬라이드 덱, 발표 녹화본에 대한 무료 진단을 요청하고 가장 효과적인 다음 단계 추천을 받아보세요.,,Reviewed,Owner + External,
seo,title.thanks,/thanks/,/ko/thanks/,Toolkit Confirmed | Signal over Noise,툴킷 신청 완료 | Signal over Noise,,Reviewed,Owner + External,
seo,description.thanks,/thanks/,/ko/thanks/,Your toolkit request is confirmed. Check your inbox then request the free presentation diagnostic if you want tailored feedback on a real presentation.,툴킷 신청이 완료되었습니다. 메일함에서 자료를 확인한 뒤 실전 발표 맞춤 피드백이 필요하면 무료 진단을 신청하세요.,,Reviewed,Owner + External,
seo,title.packages,/packages/,/ko/packages/,Packages | Signal over Noise,패키지 | Signal over Noise,,Reviewed,Owner + External,
seo,description.packages,/packages/,/ko/packages/,Signal over Noise package and pricing information now lives on the Services page.,패키지 및 가격 정보는 현재 서비스 페이지로 통합되어 제공됩니다.,,Reviewed,Owner + External,
form,field.full_name,all_forms,all_forms,Full name / Name,성함 / Full Name,,Reviewed,Owner + External,
form,field.work_email,all_forms,all_forms,Work email,업무용 이메일 / Work Email,,Reviewed,Owner + External,
form,field.company,all_forms,all_forms,Company or organization,회사 또는 기관명 / Company or Organization,,Reviewed,Owner + External,
form,field.presentation_date,all_forms,all_forms,Presentation date,발표 예정일 / Presentation Date,,Reviewed,Owner + External,
form,field.audience_context,all_forms,all_forms,Audience and context,청중 및 발표 맥락 / Audience and Context,,Reviewed,Owner + External,
form,field.current_challenge,all_forms,all_forms,What feels hardest right now?,지금 가장 어려운 점은 무엇인가요? / What feels hardest right now?,,Reviewed,Owner + External,
form,field.material_link_upload,all_forms,all_forms,Link or upload your draft,초안 링크 또는 파일 업로드 / Link or Upload Your Draft,,Reviewed,Owner + External,
form,field.support_type,all_forms,all_forms,Preferred support type,희망 지원 유형 / Preferred Support Type,,Reviewed,Owner + External,
form,helper.language,all_forms,all_forms,Please answer in Korean or English.,한국어 또는 영어로 작성해 주세요. / Please answer in Korean or English.,,Reviewed,Owner + External,
form,helper.drafts_ok,all_forms,all_forms,Share what you already have. Rough drafts are fine.,현재 가지고 있는 자료를 공유해 주세요. 초안도 괜찮습니다. / Share what you already have. Rough drafts are fine.,,Reviewed,Owner + External,
form,consent.contact,all_forms,all_forms,I agree to be contacted about this request.,본 요청 관련 연락에 동의합니다. / I agree to be contacted about this request.,,Reviewed,Owner + External,
